"","feature","sample","Novogene","Sample_Name","experiment","condition","mimic_amount","cond_name","SV1","medianLength","gene_name","gene_id","DEA.logFC","DEA.logCPM","DEA.LR","DEA.PValue","DEA.FDR","DEA.ind.MiR.logFC","DEA.ind.MiR.logCPM","DEA.ind.MiR.LR","DEA.ind.MiR.PValue","DEA.ind.MiR.FDR","DEA.ind.any.logFC.conditionCtrl.MiR","DEA.ind.any.logFC.conditionMiR","DEA.ind.any.logCPM","DEA.ind.any.LR","DEA.ind.any.PValue","DEA.ind.any.FDR","logcpm"
"A_1.2","ENSG00000170540.ARL6IP1","A_1","A_1","N1_Ctrl","N1","Ctrl",0,"Ctrl.",-0.139998380369007,1786.48751849951,"ARL6IP1","ENSG00000170540",-0.64516223706701,7.49924189052162,83.0957698210125,7.81727967983762e-20,2.99522077579009e-17,-0.636126347094924,7.49925636784526,108.42058552776,2.17388190914308e-25,1.01513491776016e-22,-0.457510967106037,-0.636126347094924,7.49925636784526,126.40869962947,3.55385449996502e-28,1.71307250945088e-25,5.40874996579724
"A_1.14","ENSG00000080845.DLGAP4","A_1","A_1","N1_Ctrl","N1","Ctrl",0,"Ctrl.",-0.139998380369007,2558.39634535584,"DLGAP4","ENSG00000080845",-0.479004327348124,6.61684258150091,77.6707857678631,1.21728532920263e-18,3.4980566681298e-16,-0.499509819805859,6.61686463618466,68.7727518514238,1.10488792526232e-16,1.77530540507472e-14,-0.254239117900259,-0.499509819805859,6.61686463618466,69.9271445091057,6.53903259551029e-16,9.218185290067e-14,4.78280061969892
"A_1.16","ENSG00000110321.EIF4G2","A_1","A_1","N1_Ctrl","N1","Ctrl",0,"Ctrl.",-0.139998380369007,2935.80952439827,"EIF4G2","ENSG00000110321",-1.19528651603376,9.57103936369104,177.6541790621,1.57625470892343e-40,7.85132470514761e-37,-1.16575952877849,9.57104897399927,290.185044365764,4.53144660019666e-65,6.77134065467386e-61,-0.791783505731636,-1.16575952877849,9.57104897399927,338.55982185255,3.03856679514094e-74,4.54053036197911e-70,7.02620612882087
"A_1.22","ENSG00000064393.HIPK2","A_1","A_1","N1_Ctrl","N1","Ctrl",0,"Ctrl.",-0.139998380369007,12589.4867183639,"HIPK2","ENSG00000064393",-0.942680339389601,6.56220828005082,126.063140481303,2.97854106412495e-29,4.94537101346878e-26,-0.974257871231205,6.56229619027042,217.747122608226,2.80417334075448e-49,6.98379370514904e-46,-0.686286631014706,-0.974257871231205,6.56229619027042,256.488037738181,2.01525620978935e-56,7.52849338572058e-53,4.91084120170417
"A_1.58","ENSG00000213463.SYNJ2BP","A_1","A_1","N1_Ctrl","N1","Ctrl",0,"Ctrl.",-0.139998380369007,4692.98502786558,"SYNJ2BP","ENSG00000213463",-0.366213053596184,5.70881344781167,13.2897012381468,0.000266868004150761,0.00258948609482131,-0.320954235848216,5.70887350336057,26.1708651418117,3.12502066011581e-07,9.26531423097432e-06,-0.42668384032678,-0.320954235848216,5.70887350336057,58.878028762485,1.6398287697237e-13,1.65567306121495e-11,4.14641670392606
"A_2.2","ENSG00000170540.ARL6IP1","A_2","A_2","N1_Ctrl-MiR","N1","Ctrl-MiR",0.5,"miR-1229 (10nM)",-0.144390884897784,1786.48751849951,"ARL6IP1","ENSG00000170540",-0.64516223706701,7.49924189052162,83.0957698210125,7.81727967983762e-20,2.99522077579009e-17,-0.636126347094924,7.49925636784526,108.42058552776,2.17388190914308e-25,1.01513491776016e-22,-0.457510967106037,-0.636126347094924,7.49925636784526,126.40869962947,3.55385449996502e-28,1.71307250945088e-25,5.0608999137616
"A_2.14","ENSG00000080845.DLGAP4","A_2","A_2","N1_Ctrl-MiR","N1","Ctrl-MiR",0.5,"miR-1229 (10nM)",-0.144390884897784,2558.39634535584,"DLGAP4","ENSG00000080845",-0.479004327348124,6.61684258150091,77.6707857678631,1.21728532920263e-18,3.4980566681298e-16,-0.499509819805859,6.61686463618466,68.7727518514238,1.10488792526232e-16,1.77530540507472e-14,-0.254239117900259,-0.499509819805859,6.61686463618466,69.9271445091057,6.53903259551029e-16,9.218185290067e-14,4.5728453499236
"A_2.16","ENSG00000110321.EIF4G2","A_2","A_2","N1_Ctrl-MiR","N1","Ctrl-MiR",0.5,"miR-1229 (10nM)",-0.144390884897784,2935.80952439827,"EIF4G2","ENSG00000110321",-1.19528651603376,9.57103936369104,177.6541790621,1.57625470892343e-40,7.85132470514761e-37,-1.16575952877849,9.57104897399927,290.185044365764,4.53144660019666e-65,6.77134065467386e-61,-0.791783505731636,-1.16575952877849,9.57104897399927,338.55982185255,3.03856679514094e-74,4.54053036197911e-70,6.43332863714922
"A_2.22","ENSG00000064393.HIPK2","A_2","A_2","N1_Ctrl-MiR","N1","Ctrl-MiR",0.5,"miR-1229 (10nM)",-0.144390884897784,12589.4867183639,"HIPK2","ENSG00000064393",-0.942680339389601,6.56220828005082,126.063140481303,2.97854106412495e-29,4.94537101346878e-26,-0.974257871231205,6.56229619027042,217.747122608226,2.80417334075448e-49,6.98379370514904e-46,-0.686286631014706,-0.974257871231205,6.56229619027042,256.488037738181,2.01525620978935e-56,7.52849338572058e-53,4.35144102976147
"A_2.58","ENSG00000213463.SYNJ2BP","A_2","A_2","N1_Ctrl-MiR","N1","Ctrl-MiR",0.5,"miR-1229 (10nM)",-0.144390884897784,4692.98502786558,"SYNJ2BP","ENSG00000213463",-0.366213053596184,5.70881344781167,13.2897012381468,0.000266868004150761,0.00258948609482131,-0.320954235848216,5.70887350336057,26.1708651418117,3.12502066011581e-07,9.26531423097432e-06,-0.42668384032678,-0.320954235848216,5.70887350336057,58.878028762485,1.6398287697237e-13,1.65567306121495e-11,3.85716891010676
"A_3.2","ENSG00000170540.ARL6IP1","A_3","A_3","N1_MiR","N1","MiR",1,"miR-1229 (20nM)",-0.26351750175584,1786.48751849951,"ARL6IP1","ENSG00000170540",-0.64516223706701,7.49924189052162,83.0957698210125,7.81727967983762e-20,2.99522077579009e-17,-0.636126347094924,7.49925636784526,108.42058552776,2.17388190914308e-25,1.01513491776016e-22,-0.457510967106037,-0.636126347094924,7.49925636784526,126.40869962947,3.55385449996502e-28,1.71307250945088e-25,4.99066856228522
"A_3.14","ENSG00000080845.DLGAP4","A_3","A_3","N1_MiR","N1","MiR",1,"miR-1229 (20nM)",-0.26351750175584,2558.39634535584,"DLGAP4","ENSG00000080845",-0.479004327348124,6.61684258150091,77.6707857678631,1.21728532920263e-18,3.4980566681298e-16,-0.499509819805859,6.61686463618466,68.7727518514238,1.10488792526232e-16,1.77530540507472e-14,-0.254239117900259,-0.499509819805859,6.61686463618466,69.9271445091057,6.53903259551029e-16,9.218185290067e-14,4.39477688029941
